Date,AdjClose,Close,High,Low,Open,Volume,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD,MACD_signal,MACD_hist,BB_low,BB_mid,BB_up,BB_width,STOCH_k,STOCH_d,ret_1d,ret_5d
2014-03-13,90.96723175048828,157.0,158.0,156.5,156.5,4404600,154.6,153.425,155.42,154.6274411247905,154.3823035227279,58.63906681666327,0.2451376020625844,-0.33668533028291564,0.5818229323455,150.33833513319013,153.425,156.5116648668099,0.04023679148521927,85.71428571428571,86.14718614718613,0.0,0.0
2014-03-14,90.38780975341795,156.0,157.0,155.5,156.0,4269600,154.8,153.6,155.44,154.83860402866887,154.50213289141473,54.991538016455735,0.33647113725413647,-0.20205403677550524,0.5385251740296417,150.35038463814584,153.6,156.84961536185415,0.042312700024142634,71.42857142857143,82.68398268398268,-0.006369426751592355,0.0
2014-03-17,91.25694274902344,157.5,158.0,156.5,157.0,3245500,155.1,153.825,155.53,155.2480495627198,154.7241971216803,59.10113193678467,0.5238524410395087,-0.05687274121250245,0.5807251822520111,150.17431513274585,153.825,157.47568486725413,0.04746542977089735,92.85714285714286,83.33333333333333,0.009615384615384581,0.0
2014-03-18,90.38780975341795,156.0,158.0,155.5,157.5,4102200,155.35,154.05,155.69,155.3637342453783,154.81870103859288,53.809957603618734,0.5450332067854333,0.0635084483870847,0.48152475839834863,150.4458357418122,154.05,157.65416425818782,0.04679213577653759,69.23076923076923,77.83882783882784,-0.00952380952380949,0.0
2014-03-19,88.64960479736328,153.0,157.0,152.0,156.5,5844900,155.4,154.025,155.68,155.0000828230124,154.68398244314156,45.11123187285162,0.3161003798708464,0.11402683468383704,0.20207354518700935,150.39905184813705,154.025,157.65094815186296,0.04708259246048313,16.666666666666668,59.58485958485958,-0.019230769230769273,0.0
2014-03-20,88.35990142822266,152.5,152.5,151.0,152.5,5414600,155.25,154.075,155.6,154.61545469639512,154.52220596587182,43.839225480863995,0.09324873052329963,0.10987121385172956,-0.01662248332842993,150.56394602718805,154.075,157.58605397281192,0.04557590748417247,21.428571428571427,35.775335775335776,-0.0032679738562091387,-0.0286624203821656
2014-03-21,87.7804946899414,151.5,153.0,151.0,152.5,3808800,154.95,154.0,155.5,154.1361539738728,154.2983388572887,41.329210055331714,-0.16218488341590387,0.05545999439820288,-0.21764487781410674,150.33939895645557,154.0,157.66060104354443,0.04754027329278483,7.142857142857143,15.07936507936508,-0.006557377049180357,-0.028846153846153855
2014-03-24,87.7804946899414,151.5,153.0,151.5,152.0,1837500,154.65,154.0,155.35,153.73059182404623,154.09105449748955,41.329210055331714,-0.3604626734433225,-0.027724539170102196,-0.3327381342732203,150.33939895645557,154.0,157.66060104354443,0.04754027329278483,7.142857142857143,11.904761904761905,0.0,-0.03809523809523807
2014-03-25,88.64960479736328,153.0,153.5,151.0,151.5,3693000,154.4,154.05,155.11,153.61819308188527,154.01023564582366,46.643680631778786,-0.3920425639383893,-0.10058814412375962,-0.2914544198146297,150.47368905155068,154.05,157.62631094844934,0.04643052188833927,28.571428571428573,14.285714285714286,0.00990099009900991,-0.019230769230769273
2014-03-26,89.80841827392578,155.0,155.0,153.0,153.5,3332600,154.3,154.225,154.97,153.8307787615952,154.08355152391078,52.78474726926104,-0.25277276231557266,-0.13102506776212222,-0.12174769455345044,150.82683873249098,154.225,157.623161267509,0.04406758006171516,57.142857142857146,30.952380952380953,0.013071895424836555,0.013071895424836555
2014-03-27,89.22901916503906,154.0,156.0,153.5,155.5,3807300,154.0,154.3,154.9,153.85681279827287,154.07736252213962,49.704347973956715,-0.2205497238667533,-0.14892999898304846,-0.07161972488370486,150.992432918292,154.3,157.60756708170803,0.04287189995733007,42.857142857142854,42.857142857142854,-0.006451612903225823,0.009836065573770592
2014-03-28,90.38780975341795,156.0,157.0,154.5,155.5,6830600,154.0,154.4,154.83,154.1865339062309,154.21978011309224,55.32030123013402,-0.03324620686134949,-0.12579324055870866,0.09254703369735917,151.0147378240381,154.4,157.78526217596192,0.04385054632075016,71.42857142857143,57.14285714285714,0.01298701298701288,0.02970297029702973
2014-03-31,90.96723175048828,157.0,157.5,156.0,157.0,3513800,153.95,154.525,154.79,154.61937484373382,154.42572232693726,57.85427028560671,0.19365251679656126,-0.061904089087654685,0.2555566058842159,150.9546358729118,154.525,158.0953641270882,0.04621082837195531,85.71428571428571,66.66666666666667,0.0064102564102563875,0.03630363036303641
2014-04-01,92.12604522705078,159.0,159.5,157.0,158.0,5752600,154.25,154.8,154.8,155.29331717546708,154.7645577101271,62.44209774999291,0.5287594653399879,0.05622862179787383,0.47253084354211405,150.77011166407826,154.8,158.82988833592177,0.05206574077418286,94.11764705882354,83.75350140056021,0.01273885350318471,0.03921568627450989
2014-04-02,92.12604522705078,159.0,160.0,158.5,160.0,4619600,154.85,155.125,154.8,155.86357607154906,155.0782941760436,62.44209774999291,0.7852818955054488,0.20203927653938883,0.58324261896606,150.84861133665356,155.125,159.40138866334644,0.05513474505523208,88.88888888888889,89.57360722066603,0.0,0.02580645161290329
2014-04-03,92.12604522705078,159.0,160.0,157.5,160.0,3295300,155.5,155.375,154.82,156.3461028297723,155.3687909037441,62.44209774999292,0.9773119260281931,0.3570938064371497,0.6202181195910433,150.81566890871065,155.375,159.93433109128935,0.05868809127966985,88.88888888888889,90.6318082788671,0.0,0.032467532467532534
