epoch,train_loss,val_loss,train_acc,val_acc
1,0.6863840855759561,0.7030105982297733,0.5547683923705722,0.4691358024691358
2,0.6803064432066208,0.7067439202909116,0.5602179836512261,0.454320987654321
3,0.6753868347942342,0.7114286025365194,0.5651226158038147,0.44938271604938274
4,0.6696813994272528,0.7170856799608395,0.5967302452316077,0.4567901234567901
5,0.6539004099791317,0.737163652755596,0.6267029972752044,0.4876543209876543
6,0.6458023429566573,0.7246305870421139,0.626158038147139,0.5012345679012346
7,0.6291877911915896,0.7500099814968345,0.6479564032697548,0.48148148148148145
8,0.6085843825210343,0.7857272579346174,0.6599455040871934,0.47530864197530864
9,0.588151537430059,0.8093351056546341,0.6708446866485014,0.4876543209876543
10,0.5657408309892348,0.8506033959212127,0.6991825613079019,0.5037037037037037
11,0.5556087007639519,0.8752432097623377,0.7160762942779292,0.5160493827160494
12,0.5282613647731188,0.9017174633932702,0.7286103542234332,0.5074074074074074
13,0.516097234818851,1.0105700893166625,0.7400544959128066,0.4740740740740741
14,0.5005327649922072,0.9809082125440056,0.7509536784741144,0.49135802469135803
15,0.4869400458699676,1.0891209575865004,0.7651226158038147,0.4703703703703704
16,0.4640118808285092,1.0655646397743697,0.7809264305177112,0.48641975308641977
17,0.4615595034909833,1.179370480996591,0.771117166212534,0.4469135802469136
18,0.44699585754475085,1.1763705492019654,0.7885558583106267,0.4617283950617284
19,0.4491773650171971,1.1321119669042987,0.7841961852861036,0.47530864197530864
20,0.43332860489307373,1.1587003937474003,0.7978201634877384,0.4740740740740741
21,0.41287341484906565,1.29240723480413,0.8059945504087194,0.4654320987654321
22,0.4029334120756924,1.2756342867274344,0.8098092643051771,0.4728395061728395
23,0.3950025064743832,1.399815849904661,0.8174386920980926,0.4679012345679012
24,0.4113265032339486,1.285275611171016,0.8092643051771117,0.49135802469135803
25,0.3814262126544516,1.4157029814190334,0.8316076294277929,0.4728395061728395
26,0.36801394722767033,1.408980620643239,0.8337874659400545,0.4567901234567901
27,0.35009836077040485,1.4643437641638297,0.8370572207084469,0.47901234567901235
28,0.3615091907718201,1.476739168755802,0.8435967302452316,0.4580246913580247
29,0.34810863061724306,1.5164493669698267,0.8485013623978201,0.45308641975308644
30,0.32694589427446474,1.563046493942355,0.8615803814713896,0.4580246913580247
