epoch,train_loss,val_loss,train_acc,val_acc
1,0.688291971819927,0.7619014569270758,0.5367847411444142,0.45185185185185184
2,0.6812506924533065,0.8119041725441262,0.5449591280653951,0.4567901234567901
3,0.6778532047037857,0.8137070467442642,0.555858310626703,0.45555555555555555
4,0.6712381239158256,0.8172297954559327,0.5623978201634877,0.45185185185185184
5,0.6664432600018764,0.8340281568927529,0.5678474114441416,0.45308641975308644
6,0.6650338815733262,0.8107659696060934,0.5656675749318801,0.4617283950617284
7,0.6606293581487047,0.8518962559876618,0.579291553133515,0.4444444444444444
8,0.6527038822381958,0.8499211620401453,0.582016348773842,0.45925925925925926
9,0.6470999568294764,1.0532164332307414,0.5891008174386921,0.4506172839506173
10,0.6425702467926192,1.0128941282813932,0.5923705722070844,0.4604938271604938
11,0.6407981355443637,0.9066589234787741,0.6092643051771117,0.4876543209876543
12,0.6346077320361332,1.0574521512161066,0.602724795640327,0.4617283950617284
13,0.6311148228697296,1.059081001634951,0.623433242506812,0.46296296296296297
14,0.6245537784508853,1.025346976739389,0.6283378746594005,0.46296296296296297
15,0.6182957206175178,1.1018768534248258,0.6272479564032698,0.454320987654321
16,0.610913894189476,1.105034907070207,0.6348773841961853,0.4691358024691358
17,0.6075219721495293,1.2221163514219684,0.6354223433242506,0.4728395061728395
18,0.6010094110907261,1.3425053125546302,0.6430517711171662,0.48148148148148145
19,0.5878406629575371,1.2490976957627284,0.6681198910081744,0.49753086419753084
20,0.5786095658504995,1.3965526822172565,0.6692098092643052,0.49753086419753084
21,0.578929298222877,1.2257128992198425,0.685558583106267,0.47530864197530864
22,0.5719500845719423,1.4052246028994337,0.68283378746594,0.4728395061728395
23,0.5578611144252954,1.341008433589229,0.6959128065395095,0.4617283950617284
24,0.5433671785310439,1.4553084155659617,0.711716621253406,0.49876543209876545
25,0.552196774885505,1.6732465055253771,0.6893732970027248,0.47901234567901235
26,0.5277456674978583,1.4571092199396205,0.7155313351498638,0.48148148148148145
27,0.5245993402738337,1.5303933714642937,0.7209809264305177,0.4876543209876543
28,0.5152383244329967,1.5406968505294234,0.7242506811989101,0.47901234567901235
29,0.5094865438074118,1.6630829469657238,0.732425068119891,0.4703703703703704
30,0.5009610863732382,1.7050071233584556,0.7460490463215259,0.47901234567901235
