epoch,train_loss,val_loss,train_acc,val_acc
1,0.6864697177338666,0.7033085821587363,0.5422343324250681,0.4049382716049383
2,0.6808864644177928,0.7024495505992278,0.5678474114441416,0.4641975308641975
3,0.6789339177290166,0.6955859432985754,0.5743869209809265,0.5111111111111111
4,0.67438222478456,0.7012642245233794,0.5825613079019074,0.4888888888888889
5,0.6701617918807089,0.7119349207407163,0.5967302452316077,0.49135802469135803
6,0.6654120609610866,0.7176541697831802,0.6,0.4901234567901235
7,0.6614191424294453,0.7613936602333445,0.5994550408719346,0.47530864197530864
8,0.6541066987313107,0.7491377191779054,0.6076294277929155,0.4839506172839506
9,0.6427229947225275,0.8153602832629356,0.6337874659400545,0.4703703703703704
10,0.6323248778117125,0.8215587442303881,0.6365122615803814,0.5111111111111111
11,0.616717292599847,0.8636627106019008,0.659400544959128,0.49382716049382713
12,0.6090902360973306,0.9166313353879952,0.6724795640326976,0.47160493827160493
13,0.592135705902401,1.0023628455621225,0.6811989100817438,0.4839506172839506
14,0.5993519030409873,0.9766142536092688,0.6839237057220708,0.47530864197530864
15,0.5679729310303357,0.880751434078923,0.7057220708446866,0.49506172839506174
16,0.55153273577911,1.002261851452015,0.7182561307901907,0.4802469135802469
17,0.5348469143180171,0.9385843759701575,0.7329700272479565,0.5172839506172839
18,0.5088641555497692,1.0167463885413275,0.7542234332425068,0.48148148148148145
19,0.5059244199409797,1.0785627738929089,0.7645776566757493,0.4876543209876543
20,0.4880234729691487,1.088943146187582,0.7727520435967302,0.47530864197530864
21,0.448235450664723,1.2080036831490788,0.8098092643051771,0.4802469135802469
22,0.4444536329452608,1.3499644285366859,0.7863760217983651,0.4777777777777778
23,0.4356291999284188,1.263113687067856,0.805449591280654,0.48518518518518516
24,0.43402892557411815,1.3716291983922322,0.805449591280654,0.49876543209876545
25,0.3988860384807275,1.4096603835070576,0.8316076294277929,0.48271604938271606
26,0.40608789173718696,1.630551975156054,0.8299727520435968,0.48148148148148145
27,0.40410940892365066,1.3394766162942957,0.8201634877384196,0.48148148148148145
28,0.37427668638060463,1.5230154994093341,0.8392370572207084,0.48641975308641977
29,0.3556781205721707,1.5805957755924742,0.8550408719346049,0.4641975308641975
30,0.3544321175167281,1.5703344000710382,0.8588555858310627,0.4876543209876543
