epoch,train_loss,val_loss,train_acc,val_acc
1,0.6916192382740368,0.7061726459750423,0.5158090514569126,0.46296296296296297
2,0.6854616489309889,0.7134074795393296,0.5387476751394916,0.4617283950617284
3,0.6821783815417612,0.7177878669750544,0.5548667079975201,0.46296296296296297
4,0.6765864688789925,0.731051484743754,0.583384996900186,0.45185185185185184
5,0.6754880801388291,0.7464850500777915,0.5716057036577805,0.445679012345679
6,0.671087844764972,0.764349150068966,0.5747055176689398,0.43950617283950616
7,0.6626185322502571,0.7808048392519539,0.5908245505269684,0.4419753086419753
8,0.6566767293107635,0.7827221165468663,0.6075635461872287,0.4506172839506173
9,0.6489916211762047,0.7828348716100056,0.6106633601983881,0.454320987654321
10,0.6347902548364874,0.8167332980367873,0.6360818350898946,0.4666666666666667
11,0.6256425568056786,0.8134755233187735,0.6546807191568506,0.46296296296296297
12,0.6182147097454556,0.8288211642959972,0.652820830750155,0.454320987654321
13,0.6017497930553339,0.8833032817016413,0.6800991940483571,0.454320987654321
14,0.6032024423158177,0.836631977558136,0.6732796032238065,0.45555555555555555
15,0.5959925788275144,0.8841591121237955,0.6751394916305021,0.45555555555555555
16,0.567492109902956,0.8756249619118961,0.7154370737755734,0.4679012345679012
17,0.5798418320489093,0.892534218158251,0.7067575945443273,0.4728395061728395
18,0.5680449552884844,0.9116060346732905,0.7048977061376317,0.4604938271604938
19,0.5417021895445288,0.9288237830738962,0.7278363298202107,0.45925925925925926
20,0.5221585112185635,0.9902797378139732,0.7414755114693118,0.4728395061728395
21,0.529807423961436,0.9632854929676762,0.7253564786112833,0.4728395061728395
22,0.5083295496368881,1.0088005321997184,0.7557346559206448,0.49506172839506174
23,0.5040440198359694,1.0235233305413045,0.7489150650960942,0.48271604938271606
24,0.4811948859684229,1.1207103118484403,0.7619342839429635,0.45308641975308644
25,0.4921404693855385,1.04478017459681,0.755114693118413,0.4728395061728395
26,0.4665362201007493,1.1478522995371878,0.7755734655920645,0.4962962962962963
27,0.4552302245611887,1.1305962924604063,0.7836329820210788,0.49876543209876545
28,0.4273544138104592,1.2087057410934825,0.8016119032858029,0.4901234567901235
29,0.43182613396230723,1.1803902125652925,0.7941723496590205,0.5037037037037037
30,0.4160477399493476,1.283926107559675,0.8047117172969622,0.48518518518518516
