epoch,train_loss,val_loss,train_acc,val_acc
1,0.6929660093556957,0.6902763290169799,0.5155313351498637,0.5518518518518518
2,0.6910832084492052,0.6884919630156623,0.5291553133514987,0.571604938271605
3,0.68817195148494,0.6902079379117048,0.5318801089918256,0.5567901234567901
4,0.6873158899574904,0.6901427336681036,0.5340599455040872,0.5518518518518518
5,0.6830770493528174,0.6910223516417139,0.5438692098092643,0.519753086419753
6,0.6747479495950226,0.6979657346819654,0.5760217983651226,0.5123456790123457
7,0.6654917913171836,0.7056114866409773,0.5896457765667575,0.49506172839506174
8,0.6525333561754356,0.7123221263473416,0.615258855585831,0.519753086419753
9,0.6397057617067966,0.7236045448868363,0.6168937329700273,0.5209876543209877
10,0.6304969874974492,0.7328335728174374,0.6561307901907357,0.49876543209876545
11,0.6118356019014883,0.759937514346323,0.6517711171662125,0.49382716049382713
12,0.5906024641172113,0.7658069667992768,0.6817438692098092,0.49135802469135803
13,0.5989118750803477,0.8396280200393111,0.6877384196185287,0.4604938271604938
14,0.5928167755012617,0.812790114644133,0.6986376021798365,0.48271604938271606
15,0.5598831226455419,0.8505595029136281,0.71716621253406,0.4679012345679012
16,0.5370921064462584,0.9004170233820692,0.7373297002724796,0.4679012345679012
17,0.5370381624237394,0.885227499331957,0.7231607629427793,0.4666666666666667
18,0.5088272143124885,0.9680299224676909,0.755858310626703,0.45185185185185184
19,0.5052490977565339,1.0057479159331617,0.7678474114441417,0.4679012345679012
20,0.5108464950761613,1.031180551022659,0.7509536784741144,0.4728395061728395
21,0.4951719316702123,1.0292167476665826,0.7634877384196185,0.454320987654321
22,0.4641474655278697,1.0793792562720217,0.7836512261580382,0.45555555555555555
23,0.4615665612168793,1.1067313606356397,0.784741144414169,0.4666666666666667
24,0.4544942984788879,1.1517211175259248,0.7907356948228883,0.4654320987654321
25,0.42934542757938604,1.2007170406388648,0.8059945504087194,0.4691358024691358
26,0.46508396337727437,1.1421904062047417,0.776566757493188,0.4876543209876543
27,0.48419819034087885,1.156593923215513,0.7596730245231608,0.48148148148148145
28,0.42970647155751324,1.2419776132077347,0.8016348773841961,0.4703703703703704
29,0.411090423463151,1.2335615626087895,0.8119891008174387,0.4728395061728395
30,0.4040949675140329,1.251265542153959,0.8228882833787466,0.49506172839506174
