epoch,train_loss,val_loss,train_acc,val_acc
1,0.70145183801651,0.6966485022026816,0.38,0.4604938271604938
2,0.6934806752204895,0.6907647705372469,0.44,0.5296296296296297
3,0.6853877329826354,0.6867452519911307,0.59,0.582716049382716
4,0.6775047421455384,0.6839403211334605,0.68,0.5888888888888889
5,0.6698411202430725,0.6819566901819205,0.68,0.5925925925925926
6,0.6614981532096863,0.680168029555568,0.73,0.6
7,0.6524159955978394,0.6790266484390071,0.74,0.6024691358024692
8,0.6456043434143066,0.6785255751492064,0.73,0.6012345679012345
9,0.6335120964050293,0.678401737007094,0.74,0.6024691358024692
10,0.6205334568023682,0.6787962455808381,0.74,0.6037037037037037
11,0.6051125836372375,0.6795890847841899,0.74,0.6037037037037037
12,0.5903738594055176,0.6817544878265004,0.74,0.6049382716049383
13,0.5709963321685791,0.6850756425916412,0.74,0.6049382716049383
14,0.553561942577362,0.6902499515333294,0.74,0.6049382716049383
15,0.5443928742408752,0.6968789718769215,0.75,0.6061728395061728
16,0.5323724460601806,0.7023158432524881,0.74,0.6024691358024692
17,0.5233708524703979,0.7055127754623507,0.72,0.5962962962962963
18,0.5090683245658875,0.7084051695870764,0.74,0.5740740740740741
19,0.4955404186248779,0.7145014848238156,0.75,0.5567901234567901
20,0.4881084644794464,0.7234413229388955,0.78,0.5333333333333333
21,0.4688425087928772,0.7379768353921395,0.79,0.5234567901234568
22,0.4504408538341522,0.7588027721569862,0.8,0.4962962962962963
23,0.44963016152381896,0.7732255735515077,0.77,0.4666666666666667
24,0.4315717709064484,0.7948948445143523,0.79,0.43703703703703706
25,0.4223410868644714,0.8200280357290197,0.81,0.4308641975308642
26,0.40849161505699155,0.8502046208322784,0.83,0.4246913580246914
27,0.4135929846763611,0.8706337886092104,0.8,0.42098765432098767
28,0.3969589853286743,0.87345205589577,0.84,0.42345679012345677
29,0.41940291166305543,0.8863502038849724,0.78,0.42592592592592593
30,0.41940482139587404,0.893852581506894,0.78,0.4246913580246914
