epoch,train_loss,val_loss,train_acc,val_acc
1,0.6897129059487532,0.6965529871575626,0.5389645776566757,0.4679012345679012
2,0.6830774152311382,0.6928369605982745,0.5520435967302453,0.48641975308641977
3,0.6794551730155944,0.694830510057049,0.5574931880108992,0.49135802469135803
4,0.6734691737458232,0.693514479825526,0.5798365122615804,0.5358024691358024
5,0.6631887985185316,0.6955290931242484,0.5880108991825613,0.562962962962963
6,0.6533604919748021,0.704899239834444,0.5978201634877384,0.4962962962962963
7,0.642028558611545,0.6970705114764931,0.6201634877384197,0.5901234567901235
8,0.6248290739202369,0.7027405011801072,0.6446866485013624,0.5888888888888889
9,0.6035585549936633,0.7775312447253568,0.6773841961852861,0.4888888888888889
10,0.6002053361822539,0.7553088431005125,0.6795640326975477,0.48148148148148145
11,0.5839257568689393,0.7244132353935713,0.6893732970027248,0.5185185185185185
12,0.5673091265096326,0.7710060043099486,0.7002724795640327,0.49506172839506174
13,0.5509938765611571,0.762288107401059,0.7133514986376022,0.5333333333333333
14,0.5246191706579453,0.7788618791250534,0.7384196185286104,0.5370370370370371
15,0.5336897511573189,0.8248007702238765,0.7291553133514986,0.5209876543209877
16,0.5054806484026221,0.7951788120799594,0.761307901907357,0.5469135802469136
17,0.500054872604417,0.8357119157726383,0.7514986376021798,0.5395061728395062
18,0.48386840089465355,0.8552958662127271,0.7634877384196185,0.554320987654321
19,0.49090628242297785,0.8247542310644079,0.75858310626703,0.5580246913580247
20,0.47040785068712054,0.8402879027672756,0.7743869209809264,0.5493827160493827
21,0.4562101017876607,0.8602032633475315,0.7836512261580382,0.5555555555555556
22,0.4388357497690809,0.9156773702597912,0.7978201634877384,0.5469135802469136
23,0.4409391517047986,0.9098600992450008,0.7885558583106267,0.5395061728395062
24,0.4216251031579374,1.0437831019177848,0.7994550408719346,0.519753086419753
25,0.4347893643931407,1.0423932628867068,0.7858310626702997,0.5111111111111111
26,0.4033876550457458,1.0362975129374752,0.8152588555858311,0.5246913580246914
27,0.40605322729989035,1.0550843712724285,0.8108991825613079,0.5148148148148148
28,0.39615483431790116,1.0352271287529557,0.8163487738419618,0.508641975308642
29,0.3966463957398074,1.068726216422187,0.8136239782016349,0.519753086419753
30,0.39388611693473213,1.028202204498244,0.8217983651226158,0.528395061728395
