epoch,train_loss,val_loss,train_acc,val_acc
1,0.690723458985637,0.7158689289917181,0.5157894736842106,0.44074074074074077
2,0.6754742379475357,0.740601944334713,0.5804511278195489,0.43703703703703706
3,0.663239218059339,0.7769211373211425,0.6030075187969924,0.45925925925925926
4,0.6583104055626948,0.8430419989574103,0.6195488721804512,0.4617283950617284
5,0.6509511906401555,0.9152949552477142,0.6451127819548872,0.4691358024691358
6,0.645504703736843,1.037202928537204,0.6556390977443609,0.4654320987654321
7,0.6358460982043044,1.1422934134801228,0.6586466165413534,0.46296296296296297
8,0.6292044358145922,1.2105695081345829,0.6345864661654136,0.4617283950617284
9,0.6232722458086516,1.2672893006124615,0.6586466165413534,0.45925925925925926
10,0.6155131319411715,1.3562375963470081,0.6511278195488722,0.4617283950617284
11,0.608305593451163,1.3108857800931106,0.6676691729323309,0.4691358024691358
12,0.6004903506515618,1.4267103048018468,0.6661654135338346,0.4679012345679012
13,0.5896227495114607,1.498406625971382,0.6586466165413534,0.4679012345679012
14,0.5796849663992574,1.4888464291890462,0.6932330827067669,0.4666666666666667
15,0.5664884338701578,1.6043156977053041,0.6917293233082706,0.4666666666666667
16,0.5524582703310744,1.5521133346322142,0.6962406015037594,0.4666666666666667
17,0.5383089644568307,1.6045686418627516,0.724812030075188,0.4666666666666667
18,0.5200585316894646,1.635061025030819,0.7263157894736842,0.4654320987654321
19,0.512519656760352,1.7487606342927908,0.7218045112781954,0.46296296296296297
20,0.49914308235161287,1.7280485794868,0.7368421052631579,0.4691358024691358
21,0.47638088016581714,1.7913520418567421,0.7699248120300752,0.4666666666666667
22,0.4717568824165746,1.844394651165715,0.7789473684210526,0.47160493827160493
23,0.4500434968704568,1.8564201093014376,0.7969924812030075,0.47530864197530864
24,0.4522157849225783,1.8747077417962346,0.7924812030075188,0.47530864197530864
25,0.45684633555268883,1.9431905546306092,0.7774436090225564,0.4703703703703704
26,0.428110583966836,2.0397805287514204,0.8105263157894737,0.4654320987654321
27,0.4325709407490895,2.0336541729208863,0.806015037593985,0.4777777777777778
28,0.42649813428857275,2.0185211069789935,0.8135338345864662,0.48148148148148145
29,0.4008023184044917,2.2537596190417255,0.837593984962406,0.4666666666666667
30,0.39020390734636695,2.22392118477527,0.8270676691729323,0.47901234567901235
